snapshot_date,product_id,warehouse,units_on_hand
2024-01-01,1,West,341
2024-01-01,1,East,177
2024-01-01,1,Central,363
2024-01-01,2,West,33
2024-01-01,2,East,281
2024-01-01,2,Central,277
2024-01-01,3,West,148
2024-01-01,3,East,456
2024-01-01,3,Central,153
2024-01-01,4,West,435
2024-01-01,4,East,80
2024-01-01,4,Central,364
2024-01-01,5,West,363
2024-01-01,5,East,474
2024-01-01,5,Central,358
2024-01-01,6,West,326
2024-01-01,6,East,89
2024-01-01,6,Central,406
2024-01-01,7,West,185
2024-01-01,7,East,260
2024-01-01,7,Central,114
2024-01-01,8,West,62
2024-01-01,8,East,102
2024-01-01,8,Central,405
2024-01-01,9,West,71
2024-01-01,9,East,121
2024-01-01,9,Central,404
2024-01-01,10,West,252
2024-01-01,10,East,13
2024-01-01,10,Central,184
2024-01-01,11,West,283
2024-01-01,11,East,293
2024-01-01,11,Central,188
2024-01-01,12,West,239
2024-01-01,12,East,411
2024-01-01,12,Central,282
2024-01-01,13,West,66
2024-01-01,13,East,313
2024-01-01,13,Central,452
2024-01-01,14,West,44
2024-01-01,14,East,33
2024-01-01,14,Central,158
2024-01-01,15,West,203
2024-01-01,15,East,367
2024-01-01,15,Central,368
2024-01-01,16,West,245
2024-01-01,16,East,269
2024-01-01,16,Central,210
2024-01-01,17,West,393
2024-01-01,17,East,209
2024-01-01,17,Central,421
2024-01-01,18,West,294
2024-01-01,18,East,37
2024-01-01,18,Central,64
2024-01-01,19,West,497
2024-01-01,19,East,162
2024-01-01,19,Central,328
2024-01-01,20,West,37
2024-01-01,20,East,230
2024-01-01,20,Central,238
2024-01-01,21,West,348
2024-01-01,21,East,264
2024-01-01,21,Central,176
2024-01-01,22,West,65
2024-01-01,22,East,449
2024-01-01,22,Central,424
2024-01-01,23,West,399
2024-01-01,23,East,282
2024-01-01,23,Central,327
2024-01-01,24,West,300
2024-01-01,24,East,93
2024-01-01,24,Central,393
2024-01-01,25,West,494
2024-01-01,25,East,66
2024-01-01,25,Central,221
2024-01-01,26,West,257
2024-01-01,26,East,466
2024-01-01,26,Central,444
2024-01-01,27,West,28
2024-01-01,27,East,425
2024-01-01,27,Central,63
2024-01-01,28,West,265
2024-01-01,28,East,78
2024-01-01,28,Central,155
2024-01-01,29,West,84
2024-01-01,29,East,82
2024-01-01,29,Central,165
2024-01-01,30,West,478
2024-01-01,30,East,363
2024-01-01,30,Central,115
2024-01-01,31,West,177
2024-01-01,31,East,485
2024-01-01,31,Central,481
2024-01-01,32,West,265
2024-01-01,32,East,458
2024-01-01,32,Central,145
2024-01-01,33,West,433
2024-01-01,33,East,40
2024-01-01,33,Central,128
2024-01-01,34,West,100
2024-01-01,34,East,325
2024-01-01,34,Central,489
2024-01-01,35,West,282
2024-01-01,35,East,140
2024-01-01,35,Central,64
2024-01-01,36,West,320
2024-01-01,36,East,155
2024-01-01,36,Central,314
2024-01-01,37,West,273
2024-01-01,37,East,47
2024-01-01,37,Central,257
2024-01-01,38,West,328
2024-01-01,38,East,86
2024-01-01,38,Central,303
2024-01-01,39,West,482
2024-01-01,39,East,297
2024-01-01,39,Central,78
2024-01-01,40,West,87
2024-01-01,40,East,337
2024-01-01,40,Central,319
2024-01-01,41,West,368
2024-01-01,41,East,461
2024-01-01,41,Central,309
2024-01-01,42,West,172
2024-01-01,42,East,431
2024-01-01,42,Central,473
2024-01-01,43,West,288
2024-01-01,43,East,21
2024-01-01,43,Central,422
2024-01-01,44,West,442
2024-01-01,44,East,14
2024-01-01,44,Central,41
2024-01-01,45,West,23
2024-01-01,45,East,485
2024-01-01,45,Central,328
2024-01-01,46,West,394
2024-01-01,46,East,295
2024-01-01,46,Central,135
2024-01-01,47,West,333
2024-01-01,47,East,107
2024-01-01,47,Central,392
2024-01-01,48,West,292
2024-01-01,48,East,213
2024-01-01,48,Central,316
2024-01-01,49,West,327
2024-01-01,49,East,15
2024-01-01,49,Central,254
2024-01-01,50,West,455
2024-01-01,50,East,321
2024-01-01,50,Central,279
2024-01-01,51,West,148
2024-01-01,51,East,328
2024-01-01,51,Central,489
2024-01-01,52,West,154
2024-01-01,52,East,247
2024-01-01,52,Central,125
2024-01-01,53,West,412
2024-01-01,53,East,413
2024-01-01,53,Central,350
2024-01-01,54,West,207
2024-01-01,54,East,152
2024-01-01,54,Central,232
2024-01-01,55,West,37
2024-01-01,55,East,352
2024-01-01,55,Central,30
2024-01-01,56,West,80
2024-01-01,56,East,225
2024-01-01,56,Central,212
2024-01-01,57,West,247
2024-01-01,57,East,237
2024-01-01,57,Central,104
2024-01-01,58,West,174
2024-01-01,58,East,310
2024-01-01,58,Central,73
2024-01-01,59,West,160
2024-01-01,59,East,441
2024-01-01,59,Central,367
2024-01-01,60,West,163
2024-01-01,60,East,375
2024-01-01,60,Central,440
2024-01-01,61,West,176
2024-01-01,61,East,499
2024-01-01,61,Central,204
2024-01-01,62,West,66
2024-01-01,62,East,389
2024-01-01,62,Central,189
2024-01-01,63,West,263
2024-01-01,63,East,287
2024-01-01,63,Central,54
2024-01-01,64,West,163
2024-01-01,64,East,123
2024-01-01,64,Central,238
2024-01-01,65,West,62
2024-01-01,65,East,136
2024-01-01,65,Central,230
2024-01-01,66,West,126
2024-01-01,66,East,72
2024-01-01,66,Central,49
2024-01-01,67,West,25
2024-01-01,67,East,148
2024-01-01,67,Central,484
2024-01-01,68,West,196
2024-01-01,68,East,442
2024-01-01,68,Central,315
2024-01-01,69,West,214
2024-01-01,69,East,127
2024-01-01,69,Central,492
2024-01-01,70,West,443
2024-01-01,70,East,461
2024-01-01,70,Central,81
2024-01-01,71,West,416
2024-01-01,71,East,167
2024-01-01,71,Central,478
2024-01-01,72,West,295
2024-01-01,72,East,369
2024-01-01,72,Central,160
2024-01-01,73,West,97
2024-01-01,73,East,390
2024-01-01,73,Central,81
2024-01-01,74,West,255
2024-01-01,74,East,263
2024-01-01,74,Central,239
2024-01-01,75,West,255
2024-01-01,75,East,450
2024-01-01,75,Central,157
2024-01-01,76,West,254
2024-01-01,76,East,11
2024-01-01,76,Central,46
2024-01-01,77,West,483
2024-01-01,77,East,201
2024-01-01,77,Central,258
2024-01-01,78,West,234
2024-01-01,78,East,494
2024-01-01,78,Central,123
2024-01-01,79,West,110
2024-01-01,79,East,298
2024-01-01,79,Central,180
2024-01-01,80,West,24
2024-01-01,80,East,25
2024-01-01,80,Central,144
2024-01-01,81,West,253
2024-01-01,81,East,305
2024-01-01,81,Central,451
2024-01-01,82,West,431
2024-01-01,82,East,334
2024-01-01,82,Central,344
2024-01-01,83,West,240
2024-01-01,83,East,146
2024-01-01,83,Central,274
2024-01-01,84,West,4
2024-01-01,84,East,433
2024-01-01,84,Central,55
2024-01-01,85,West,220
2024-01-01,85,East,68
2024-01-01,85,Central,451
2024-01-01,86,West,135
2024-01-01,86,East,372
2024-01-01,86,Central,187
2024-01-01,87,West,391
2024-01-01,87,East,206
2024-01-01,87,Central,187
2024-01-01,88,West,23
2024-01-01,88,East,205
2024-01-01,88,Central,26
2024-01-01,89,West,291
2024-01-01,89,East,287
2024-01-01,89,Central,99
2024-01-01,90,West,185
2024-01-01,90,East,283
2024-01-01,90,Central,147
2024-01-31,1,West,37
2024-01-31,1,East,197
2024-01-31,1,Central,258
2024-01-31,2,West,230
2024-01-31,2,East,391
2024-01-31,2,Central,281
2024-01-31,3,West,143
2024-01-31,3,East,422
2024-01-31,3,Central,319
2024-01-31,4,West,348
2024-01-31,4,East,312
2024-01-31,4,Central,60
2024-01-31,5,West,65
2024-01-31,5,East,499
2024-01-31,5,Central,49
2024-01-31,6,West,201
2024-01-31,6,East,191
2024-01-31,6,Central,406
2024-01-31,7,West,173
2024-01-31,7,East,285
2024-01-31,7,Central,480
2024-01-31,8,West,187
2024-01-31,8,East,386
2024-01-31,8,Central,73
2024-01-31,9,West,101
2024-01-31,9,East,308
2024-01-31,9,Central,260
2024-01-31,10,West,205
2024-01-31,10,East,256
2024-01-31,10,Central,20
2024-01-31,11,West,23
2024-01-31,11,East,19
2024-01-31,11,Central,70
2024-01-31,12,West,365
2024-01-31,12,East,170
2024-01-31,12,Central,411
2024-01-31,13,West,242
2024-01-31,13,East,265
2024-01-31,13,Central,233
2024-01-31,14,West,76
2024-01-31,14,East,310
2024-01-31,14,Central,457
2024-01-31,15,West,263
2024-01-31,15,East,71
2024-01-31,15,Central,167
2024-01-31,16,West,476
2024-01-31,16,East,313
2024-01-31,16,Central,163
2024-01-31,17,West,83
2024-01-31,17,East,201
2024-01-31,17,Central,315
2024-01-31,18,West,378
2024-01-31,18,East,431
2024-01-31,18,Central,153
2024-01-31,19,West,303
2024-01-31,19,East,172
2024-01-31,19,Central,259
2024-01-31,20,West,424
2024-01-31,20,East,260
2024-01-31,20,Central,272
2024-01-31,21,West,250
2024-01-31,21,East,362
2024-01-31,21,Central,288
2024-01-31,22,West,153
2024-01-31,22,East,243
2024-01-31,22,Central,417
2024-01-31,23,West,8
2024-01-31,23,East,188
2024-01-31,23,Central,169
2024-01-31,24,West,344
2024-01-31,24,East,56
2024-01-31,24,Central,213
2024-01-31,25,West,298
2024-01-31,25,East,157
2024-01-31,25,Central,407
2024-01-31,26,West,460
2024-01-31,26,East,371
2024-01-31,26,Central,446
2024-01-31,27,West,352
2024-01-31,27,East,322
2024-01-31,27,Central,13
2024-01-31,28,West,305
2024-01-31,28,East,242
2024-01-31,28,Central,135
2024-01-31,29,West,495
2024-01-31,29,East,335
2024-01-31,29,Central,400
2024-01-31,30,West,497
2024-01-31,30,East,397
2024-01-31,30,Central,296
2024-01-31,31,West,295
2024-01-31,31,East,116
2024-01-31,31,Central,369
2024-01-31,32,West,26
2024-01-31,32,East,298
2024-01-31,32,Central,245
2024-01-31,33,West,87
2024-01-31,33,East,268
2024-01-31,33,Central,322
2024-01-31,34,West,369
2024-01-31,34,East,317
2024-01-31,34,Central,396
2024-01-31,35,West,430
2024-01-31,35,East,194
2024-01-31,35,Central,75
2024-01-31,36,West,420
2024-01-31,36,East,348
2024-01-31,36,Central,124
2024-01-31,37,West,16
2024-01-31,37,East,293
2024-01-31,37,Central,485
2024-01-31,38,West,358
2024-01-31,38,East,56
2024-01-31,38,Central,97
2024-01-31,39,West,9
2024-01-31,39,East,225
2024-01-31,39,Central,160
2024-01-31,40,West,214
2024-01-31,40,East,77
2024-01-31,40,Central,211
2024-01-31,41,West,353
2024-01-31,41,East,104
2024-01-31,41,Central,210
2024-01-31,42,West,256
2024-01-31,42,East,396
2024-01-31,42,Central,313
2024-01-31,43,West,471
2024-01-31,43,East,241
2024-01-31,43,Central,446
2024-01-31,44,West,434
2024-01-31,44,East,376
2024-01-31,44,Central,372
2024-01-31,45,West,31
2024-01-31,45,East,361
2024-01-31,45,Central,70
2024-01-31,46,West,265
2024-01-31,46,East,106
2024-01-31,46,Central,287
2024-01-31,47,West,166
2024-01-31,47,East,339
2024-01-31,47,Central,244
2024-01-31,48,West,269
2024-01-31,48,East,192
2024-01-31,48,Central,160
2024-01-31,49,West,489
2024-01-31,49,East,88
2024-01-31,49,Central,235
2024-01-31,50,West,467
2024-01-31,50,East,272
2024-01-31,50,Central,175
2024-01-31,51,West,279
2024-01-31,51,East,181
2024-01-31,51,Central,346
2024-01-31,52,West,395
2024-01-31,52,East,444
2024-01-31,52,Central,369
2024-01-31,53,West,348
2024-01-31,53,East,329
2024-01-31,53,Central,411
2024-01-31,54,West,354
2024-01-31,54,East,135
2024-01-31,54,Central,312
2024-01-31,55,West,247
2024-01-31,55,East,98
2024-01-31,55,Central,490
2024-01-31,56,West,126
2024-01-31,56,East,142
2024-01-31,56,Central,285
2024-01-31,57,West,152
2024-01-31,57,East,115
2024-01-31,57,Central,482
2024-01-31,58,West,498
2024-01-31,58,East,152
2024-01-31,58,Central,394
2024-01-31,59,West,147
2024-01-31,59,East,360
2024-01-31,59,Central,106
2024-01-31,60,West,353
2024-01-31,60,East,360
2024-01-31,60,Central,250
2024-01-31,61,West,162
2024-01-31,61,East,245
2024-01-31,61,Central,178
2024-01-31,62,West,286
2024-01-31,62,East,478
2024-01-31,62,Central,478
